,City,Lat,Lng,Max Temp,Humidity,Cloudliness,Wind Speed,Country,Date
375,Tabiauea,-2.7343116654450625,169.03846548853568,82.47,69.0,63.0,13.82,KI,1650972908.0
376,Goderich,5.939006500954292,-16.63784240843364,81.77,79.0,72.0,7.38,SL,1650926109.0
377,Hofn,59.81374338391987,-13.060781225467707,46.49,79.0,100.0,18.97,IS,1650926109.0
378,Khormuj,28.104991197148138,51.60771260545883,74.46,33.0,100.0,6.42,IR,1650945910.0
379,Mehamn,80.9204770987491,29.16724619968528,-8.25,98.0,100.0,12.97,NO,1650936910.0
380,Murmashi,68.39298596157457,32.44372742481889,27.43,92.0,100.0,8.01,RU,1650940511.0
381,Byron bay,-30.46600981570724,162.0123217175739,69.03,74.0,11.0,12.41,AU,1650969312.0
382,Salima,-13.638003487852885,34.22847756027545,68.04,87.0,57.0,4.27,MW,1650936913.0
383,Tuatapere,-61.20024161361795,155.411516098368,23.85,53.0,100.0,10.6,NZ,1650965713.0
384,Micheweni,-6.015935862569123,44.65120177701422,83.19,75.0,73.0,10.6,TZ,1650940514.0
385,Mandalgovi,43.73344002748314,106.96148788666574,30.7,25.0,23.0,13.8,MN,1650958514.0
386,Meadow lake,56.01600560511412,-108.57810037120299,46.24,74.0,100.0,12.64,CA,1650908115.0
387,Kinkala,-3.701431278880193,14.770425211766423,72.23,95.0,99.0,0.74,CG,1650933316.0
388,Karakol,42.492353186891734,79.83061527386025,28.83,72.0,69.0,7.49,KG,1650951316.0
389,Novyy urengoy,69.61794661918253,75.61218046512994,13.86,96.0,100.0,10.04,RU,1650947717.0
390,Kelowna,49.72712530715097,-119.24011357016511,51.17,47.0,92.0,7.85,CA,1650904518.0
391,Santona,44.96030577214705,-3.0568503323949017,55.17,84.0,54.0,12.48,ES,1650929718.0
392,Praia da vitoria,48.007228686725284,-22.1213747091613,53.51,86.0,8.0,18.45,PT,1650926119.0
393,Leningradskiy,80.0560587271224,178.52155584569402,5.13,91.0,73.0,6.58,RU,1650972920.0
394,Petrokamenskoye,57.68545566480557,60.885098935215126,38.91,85.0,34.0,4.47,RU,1650947720.0
395,Karratha,-18.49185639526246,116.01023331938876,81.99,65.0,67.0,4.59,AU,1650958521.0
396,Pouembout,-22.294129360571162,164.10857602583025,76.24,57.0,98.0,22.79,NC,1650969322.0
397,Bucerias,20.312693283206443,-108.22745601472936,74.19,72.0,6.0,9.8,MX,1650904523.0
398,Saint-augustin,57.7654511478041,-61.67681534919558,32.88,97.0,100.0,14.56,CA,1650918923.0
399,Flin flon,58.077313906629826,-101.85349162940234,24.31,74.0,2.0,8.16,CA,1650911724.0
400,Marcona,-20.55031811633698,-80.75654569797639,67.03,75.0,67.0,12.93,PE,1650911725.0
401,Half moon bay,28.506557577624363,-137.71087236107553,63.77,72.0,100.0,11.77,US,1650897325.0
402,Hilversum,52.1998687184996,5.17791750566667,48.85,76.0,100.0,10.0,NL,1650936926.0
403,Seoul,36.94492506932184,129.66011980541793,58.77,95.0,100.0,20.6,KR,1650962127.0
404,Nishihara,19.803668539968882,133.18904647506645,81.37,78.0,1.0,19.17,JP,1650962127.0
405,Kalmunai,8.499755165228393,87.00622373914399,83.77,74.0,100.0,5.14,LK,1650951328.0
406,San luis,-32.56280045715893,-67.08162177837268,69.66,44.0,0.0,2.98,AR,1650918929.0
407,George town,19.05726962350265,-81.71204239388075,80.08,73.0,5.0,16.84,KY,1650911729.0
408,Richards bay,-29.009333108630493,33.388439092944594,72.79,65.0,100.0,30.96,ZA,1650936930.0
409,General roca,-38.91976208976886,-67.5238115939151,58.71,31.0,89.0,17.38,AR,1650918931.0
410,Novodugino,55.613139066563264,34.31235750873327,41.07,95.0,74.0,4.97,RU,1650940531.0
411,Stephenville,32.43406870313805,-98.8492296945753,63.34,48.0,100.0,16.11,US,1650911732.0
412,Haines junction,61.87917217071714,-137.11933244554515,35.42,92.0,100.0,4.16,CA,1650904533.0
413,Karlskrona,55.709345310634035,16.041735047294793,42.4,85.0,13.0,11.7,SE,1650936933.0
414,Sept-iles,56.241456358091654,-68.64184548879973,35.24,95.0,100.0,7.43,CA,1650915334.0
415,Jacqueville,4.405920276433832,-4.5178986835456385,82.49,81.0,72.0,10.2,CI,1650929735.0
416,Leh,36.264670025517475,78.80243723296115,1.27,92.0,97.0,0.67,IN,1650958535.0
417,Nizhneyansk,79.129355254058,139.87543024605844,5.25,95.0,97.0,10.22,RU,1650962136.0
418,Kajaani,63.96384355598275,28.34068744826567,34.66,96.0,98.0,2.59,FI,1650940536.0
419,Coquimbo,-27.98105791559847,-90.09270633284382,67.78,65.0,30.0,17.72,CL,1650908137.0
420,Nambour,-26.677063858199077,152.52238736588492,59.76,98.0,100.0,2.89,AU,1650965738.0
421,Bima,-6.967547646733465,118.58576385219834,83.59,66.0,74.0,8.01,ID,1650958539.0
422,Ilulissat,72.78546243295023,-50.99613646195948,-2.51,94.0,25.0,12.21,GL,1650922539.0
423,Pozo colorado,-24.435405471055702,-58.84226881234862,93.34,35.0,85.0,10.31,PY,1650915340.0
424,Sal rei,15.700181740872566,-22.999355902286425,72.09,81.0,8.0,17.72,CV,1650926141.0
425,Bambanglipuro,-14.20717709241876,108.10724709158364,82.62,73.0,99.0,11.9,ID,1650954942.0
426,Khonuu,68.62220721864665,142.70640137648292,17.64,87.0,98.0,2.95,RU,1650969343.0
427,Faya,19.1831727515046,17.626341533921675,87.19,11.0,0.0,1.9,TD,1650933344.0
428,Bathsheba,13.040180845992538,-55.94957655103403,79.03,78.0,99.0,15.77,BB,1650915345.0
429,Shelburne,39.0855249673491,-65.23406560562675,52.7,70.0,3.0,25.08,CA,1650915346.0
430,Karakendzha,38.857975045387064,71.42176951675307,37.89,76.0,100.0,5.35,TJ,1650947747.0
431,Fort erie,42.92877347958179,-78.99687217727178,62.15,94.0,100.0,1.99,CA,1650915348.0
432,Ocos,10.09849942201221,-95.64277152963817,84.47,67.0,17.0,6.08,GT,1650908149.0
433,Gurupa,-0.8867750237666883,-51.75627531547187,73.69,98.0,69.0,2.95,BR,1650918949.0
434,Diapaga,11.94951871862564,1.0158754151867697,90.91,9.0,87.0,2.64,BF,1650929750.0
435,Fonte boa,-2.7606535349190153,-65.76631369467978,74.84,97.0,50.0,0.81,BR,1650915350.0
436,Abha,17.926273774885573,42.72172245110707,73.56,50.0,2.0,1.7,SA,1650940551.0
437,Halifax,44.64293278879816,-63.28904990762426,55.29,80.0,67.0,10.36,CA,1650918952.0
438,Bolungarvik,66.41853194672012,-25.754271066394068,34.59,79.0,93.0,10.04,IS,1650922552.0
439,Isangel,-17.601401227052605,176.95598260889324,81.3,67.0,94.0,20.15,VU,1650972953.0
440,Paragominas,-3.9023906984518533,-48.08479292490992,72.93,97.0,50.0,2.1,BR,1650918954.0
441,Taree,-32.225478730035434,152.11232329385172,63.19,85.0,100.0,1.1,AU,1650965754.0
442,Ayer itam,4.669452821003887,99.50821647942769,82.8,72.0,100.0,4.65,MY,1650958555.0
443,Idil,37.37242538550906,41.797960559641865,58.86,71.0,96.0,2.59,TR,1650940556.0
444,Barmer,25.835320028480197,71.4009511485026,78.62,46.0,0.0,9.06,IN,1650949556.0
445,Margate,-33.84845839546135,32.59277260912384,65.68,74.0,68.0,19.8,ZA,1650936957.0
446,Batagay-alyta,66.89291877150632,130.39288771152206,9.88,86.0,99.0,0.58,RU,1650965757.0
447,Komsomolskiy,70.95626084565413,172.56006388446065,20.75,89.0,98.0,21.74,RU,1650972958.0
448,Sibolga,-0.5885145622057166,96.11724627667797,80.51,82.0,100.0,11.21,ID,1650951359.0
449,Rairangpur,22.073767203690878,86.16991806963728,77.79,58.0,0.0,4.25,IN,1650949559.0
450,Malwan,14.91867263586471,66.55573238893854,84.11,63.0,10.0,8.9,IN,1650944160.0
451,Contamana,-7.405010613535879,-74.9424345928337,75.67,87.0,68.0,1.43,PE,1650911760.0
452,Abnub,26.14348855438415,26.698009590111184,72.97,15.0,41.0,12.33,EG,1650936961.0
453,Sinnamary,20.18463911754131,-43.20878036733495,74.28,66.0,98.0,6.58,GF,1650918962.0
454,Gat,24.490881359767116,5.906889340709682,67.03,20.0,28.0,5.19,LY,1650933362.0
455,Kozhva,64.44440405464013,56.395439485428795,30.83,95.0,98.0,4.59,RU,1650940563.0
456,Karmana,40.22966295074727,65.66636715325598,61.12,41.0,100.0,3.4,UZ,1650947764.0
457,Tando muhammad khan,25.230927412109807,68.60913547495201,82.06,60.0,0.0,16.26,PK,1650947764.0
458,Shimoda,31.644459517862472,138.8821269096769,70.63,93.0,69.0,12.93,JP,1650962165.0
459,Romny,51.68465171794736,129.67040101049736,40.37,40.0,100.0,10.11,RU,1650962166.0
460,Inirida,2.0767836435290548,-66.95536799364702,76.05,94.0,90.0,2.8,CO,1650915367.0
461,Baculin,7.683230126763263,128.4737911946973,83.91,76.0,99.0,12.21,PH,1650962168.0
462,Araguaina,-7.352776779853258,-48.35541415436296,76.01,73.0,13.0,3.11,BR,1650918968.0
463,Butembo,-0.17486747059788854,28.601121329080257,64.53,99.0,100.0,1.12,CD,1650936969.0
464,Greencastle,39.783541783613146,-86.75904283732883,59.07,65.0,75.0,13.8,US,1650915369.0
465,Peterhead,57.51187859075219,-1.5354319834425496,43.95,83.0,100.0,13.49,GB,1650933370.0
466,Aguimes,25.47618817279809,-14.104647079906044,63.25,80.0,5.0,6.87,ES,1650929771.0
467,Tidore,-0.5178907508549884,127.44868931348867,79.59,77.0,88.0,0.4,ID,1650962171.0
468,Kyshtovka,57.717468178107026,76.57883119437867,36.57,79.0,100.0,4.83,RU,1650954972.0
469,Saint anthony,52.15547924374829,-57.164667307629344,35.33,94.0,100.0,6.58,CA,1650918973.0
470,Catamarca,-27.935298347131713,-66.67202657719433,76.75,32.0,0.0,9.66,AR,1650918973.0
471,Eureka,41.274020262289014,-135.3079977838925,50.79,64.0,38.0,16.89,US,1650897374.0
472,San policarpo,13.356250826493621,130.28495794665957,83.03,82.0,96.0,20.51,PH,1650962175.0
473,Wittenberge,53.06554808524692,11.533039376641455,40.06,91.0,82.0,3.53,DE,1650936975.0
474,Satitoa,-14.886072695914763,-168.00802783102606,83.01,73.0,53.0,15.12,WS,1650890176.0
475,San cristobal,-15.661125698431078,-92.38014179898484,72.03,71.0,74.0,15.57,EC,1650908176.0
476,Lasa,31.034063449632242,88.94114748052704,32.14,35.0,76.0,7.31,CN,1650958577.0
477,Namatanai,2.5463589093828887,158.41543546937567,82.02,76.0,90.0,12.26,PG,1650969378.0
478,Buraydah,27.609317365247605,41.938928559476665,67.1,55.0,43.0,6.67,SA,1650940578.0
479,Sakakah,27.69221665767448,39.61685287461219,63.41,55.0,41.0,5.86,SA,1650940579.0
480,Canyon lake,30.148270722321627,-98.25119456930477,61.68,95.0,100.0,12.84,US,1650911779.0
481,Manokwari,-2.1856968398617056,133.36082355549803,80.44,82.0,87.0,2.82,ID,1650962180.0
482,Biak,-1.631979795399289,137.78793673609357,82.69,81.0,40.0,7.11,ID,1650962181.0
483,Vao,-24.777074623662557,168.55627908831644,72.95,54.0,36.0,13.71,NC,1650969381.0
484,Angoche,-16.745425505205915,41.094771238073065,81.45,75.0,86.0,5.17,MZ,1650940582.0
485,Toliary,-22.1216632704202,41.337473611630486,78.04,87.0,100.0,34.31,MG,1650940583.0
486,Bendigo,-36.92219391105799,144.55462786739542,64.78,64.0,67.0,11.14,AU,1650965784.0
487,Placido de castro,-9.780719768725618,-66.59323044283411,78.58,84.0,95.0,0.98,BR,1650915385.0
488,Sorland,67.39658640053449,12.271423520585302,33.85,63.0,100.0,25.39,NO,1650936985.0
489,Urucara,-0.7252763316585344,-58.88137532813758,74.28,95.0,84.0,2.26,BR,1650915386.0
490,Inuvik,66.3404853306551,-132.90756941446645,32.76,100.0,100.0,3.78,CA,1650908187.0
491,Sikonge,-5.754132030853839,33.08510161206351,63.46,94.0,92.0,3.6,TZ,1650940587.0
492,Poronaysk,49.04851490031447,145.74963754126014,30.97,78.0,44.0,6.91,RU,1650965788.0
493,Hamilton,28.650381652459572,-64.29049420178269,71.02,75.0,90.0,30.38,BM,1650915389.0
494,Batemans bay,-39.439013103499626,154.06183421053953,61.72,66.0,100.0,6.58,AU,1650965789.0
495,Banda aceh,3.503690759701641,88.36407867061553,84.42,73.0,100.0,5.73,ID,1650951390.0
496,Kurilsk,43.4177660545337,147.66539726746902,40.78,83.0,16.0,12.84,RU,1650965791.0
497,Mingaora,35.50452596703542,73.05373908240418,30.94,49.0,2.0,5.91,PK,1650947791.0
498,Taoudenni,22.6085493808788,-3.8225500294174424,77.25,19.0,0.0,10.11,ML,1650929792.0
499,Iqaluit,58.399312273588805,-65.92889401881011,33.42,98.0,100.0,9.84,CA,1650915393.0
500,Yomitan,29.045385663259097,125.7109377593219,69.39,98.0,100.0,21.05,JP,1650958593.0
501,Verkhnyaya balkariya,43.05038450606153,43.53478859935342,23.59,69.0,6.0,11.16,RU,1650940594.0
502,Clarence town,23.70606096136352,-75.92423689892699,76.66,76.0,1.0,20.67,BS,1650915395.0
503,Ericeira,39.06110821668696,-9.525115800708619,61.68,85.0,98.0,10.56,PT,1650933395.0
504,Usinsk,67.73955058538093,57.23643472285494,28.58,97.0,99.0,7.83,RU,1650940596.0
505,Beisfjord,66.63417629729386,17.896841016443233,17.92,87.0,5.0,7.23,NO,1650936997.0
506,Krasnyy kut,50.984913563520735,46.821629105228766,54.63,69.0,92.0,10.92,RU,1650944198.0
507,Rawson,-44.253681352216766,-63.70386209396372,59.45,57.0,70.0,33.38,AR,1650915398.0
508,Pitiquito,30.414212202898597,-112.1151150057974,89.71,7.0,0.0,15.01,MX,1650904599.0
509,Kharp,69.0412511751156,66.19281874679328,18.36,95.0,100.0,7.4,RU,1650947799.0
510,Los llanos de aridane,27.96649336382947,-17.764584764737208,66.45,70.0,0.0,15.7,ES,1650933400.0
511,Te anau,-44.67090636138948,164.44942390905567,54.43,73.0,86.0,21.16,NZ,1650969401.0
512,Porto walter,-10.119095936338255,-72.66309585546486,72.77,99.0,100.0,0.87,BR,1650911801.0
513,Erenhot,43.027253648065624,109.35058102930196,29.77,25.0,7.0,17.83,CN,1650958602.0
514,Omsukchan,62.01626066779511,157.14745021214276,20.23,90.0,100.0,6.96,RU,1650969403.0
515,Mangai,-3.614567975434383,19.495442828087505,70.45,99.0,100.0,1.5,CD,1650933403.0
516,Grand centre,56.71339768259398,-110.88986023237473,54.28,62.0,58.0,13.33,CA,1650908204.0
517,Eyl,6.771959616684626,51.060907553766185,83.39,71.0,94.0,7.31,SO,1650940605.0
518,Harnoli,32.33217703526071,71.60148857117122,79.77,23.0,3.0,5.14,PK,1650947806.0
519,Teahupoo,-18.232008402642137,-149.43256056573756,81.45,72.0,3.0,11.43,PF,1650893806.0
520,Nome,60.735199192783995,-165.7194561197878,30.36,79.0,92.0,6.26,US,1650901007.0
521,Ialibu,-6.741527476718545,143.98358499723759,68.94,67.0,88.0,2.17,PG,1650965807.0
522,Zambezi,-13.496568398991897,21.53213567999694,63.07,81.0,37.0,3.8,ZM,1650933408.0
523,Pandan niog,6.302518874869037,120.14185501034513,82.58,74.0,98.0,1.41,PH,1650958609.0
524,Antsohihy,-14.506916380585835,48.22406991383215,72.61,88.0,43.0,3.49,MG,1650940609.0
525,Esmeraldas,1.6366283010492708,-80.73171722972916,79.74,78.0,82.0,8.95,EC,1650911810.0
526,Sidi ali,35.75621088053501,0.6565192981085488,61.02,61.0,7.0,1.1,DZ,1650933411.0
527,Hihifo,-16.356293086531466,-173.26798196775877,82.96,76.0,100.0,20.11,TO,1650976611.0
528,Kununurra,-15.651591503393817,129.3180049915373,84.29,34.0,96.0,9.22,AU,1650964012.0
529,Harnosand,61.35330956452276,18.43706763325315,38.86,76.0,36.0,22.44,SE,1650933413.0
530,Valle de allende,27.13336080481018,-105.13317826219051,85.71,12.0,0.0,8.37,MX,1650908214.0
531,Arlit,19.069243877041345,6.095295752235813,82.22,11.0,0.0,10.07,NE,1650933414.0
532,Ronne,55.47440962213844,14.807288303389242,42.94,74.0,10.0,12.12,DK,1650937015.0
533,Vanimo,1.4536383996720161,141.7836323872814,85.08,69.0,21.0,14.03,PG,1650962216.0
534,Scarborough,11.077359390364094,-60.49218048211898,78.94,80.0,100.0,13.56,TT,1650915416.0
535,Manicore,-5.476893411594105,-61.74274590618674,78.87,80.0,81.0,2.19,BR,1650915417.0
536,Santa rosa,-37.44063167892908,-64.34059355049335,55.24,34.0,62.0,9.66,AR,1650919018.0
